viewpoint number: 14    information entropy: 4.7084    rank: 1
viewpoint number: 9    information entropy: 4.7048    rank: 2
viewpoint number: 13    information entropy: 4.6683    rank: 3
viewpoint number: 4    information entropy: 4.6237    rank: 4
viewpoint number: 18    information entropy: 4.6220    rank: 5
viewpoint number: 5    information entropy: 4.6037    rank: 6
viewpoint number: 2    information entropy: 4.5047    rank: 7
viewpoint number: 12    information entropy: 4.4138    rank: 8
viewpoint number: 17    information entropy: 4.3510    rank: 9
viewpoint number: 15    information entropy: 4.3368    rank: 10
viewpoint number: 1    information entropy: 4.3328    rank: 11
viewpoint number: 19    information entropy: 4.2360    rank: 12
viewpoint number: 16    information entropy: 4.1374    rank: 13
viewpoint number: 7    information entropy: 4.0396    rank: 14
viewpoint number: 6    information entropy: 4.0378    rank: 15
viewpoint number: 3    information entropy: 4.0372    rank: 16
viewpoint number: 11    information entropy: 3.7054    rank: 17
viewpoint number: 10    information entropy: 3.6728    rank: 18
viewpoint number: 20    information entropy: 3.5322    rank: 19
viewpoint number: 8    information entropy: 3.3307    rank: 20
